CONT	URL	Visualizações	Likes	Deslikes	Comentários	Data	Canal	Titulo	Categoria
51	https://www.youtube.com/watch?v=1yJ4Ooihkd4	12660	1091	8	2	2021-09-29T07:30:04Z	UCg1CQlEIY_HFyRITKPAX4NQ	DEEP CHILL TIKTOK 2021- Bước Chân Về Miền Quê Remix | Nhạc Chill Sang Chảnh	10
52	https://www.youtube.com/watch?v=rXNO7qJLYJk	2384681	12531	1096	2189	2021-09-22T20:09:54Z	UC16niRr50-MSBwiO3YDb3RA	Canary Islands volcano forces further evacuations of La Palma residents - BBC News	25
53	https://www.youtube.com/watch?v=7sCVXk_CHos	255036	2311	69	400	2021-09-29T15:41:22Z	UCoMdktPbSTixAyNGwb-UYkQ	RAW VIDEO: Lava from La Palma volcano enters Atlantic Ocean	25
54	https://www.youtube.com/watch?v=9NeBwIn5P6A	667073	57615	2765	478	2021-09-29T13:30:01Z	UC5DZBjR6W561Txc_vrRWTow	😲🍪😰 NÃO DA CERTO COMER BISCOITO NO SOFÁ 😲🍪😰 FAMÍLIA PARAFUSO SOLTO	23
55	https://www.youtube.com/watch?v=fBkL6jrYI_M	161704	13864	628	96	2021-09-29T20:45:01Z	UC5DZBjR6W561Txc_vrRWTow	🏊‍♀️🍛😬 NADAR NA PISCINA DEPOIS DO ALMOÇO 🏊‍♀️🍛😬	23
56	https://www.youtube.com/watch?v=kDiLBokEW3g	41948770	2190262	45755	54063	2017-02-24T01:00:02Z	UC3KQ5GWANYF8lChqjZpXsQw	DIETA PRA QUÊ | Paródia MC Kekel - Namorar Pra Quê? (KondZilla)	23
57	https://www.youtube.com/watch?v=naJQxTDqkD0	1960	323	4	4	2021-09-29T01:53:30Z	UC7itEzsVwclPw7QQXzewpsw	CABISBAIXO FOI ESCOVAR OS DENTES NA CASA DE PLAY BOY E FICOU PUT0🤣🤣	15
58	https://www.youtube.com/watch?v=bQbFjW6uvMc	149033	8140	83	50	2021-05-12T21:30:14Z	UC7itEzsVwclPw7QQXzewpsw	CABISBAIXO E GAGO FOI TRABALHAR DE MOTOBOY E PLAY BOY TENTOU TIRAR ONDA🤣🤣	15
59	https://www.youtube.com/watch?v=PyrGjWMBmqU	33873621	233957	13370	2193	2016-03-09T18:25:42Z	UCvE8nyjdQG0_rgx9u3oqadw	Rise Of The Legend (2016) Exclusive Clip - Meeting	1
60	https://www.youtube.com/watch?v=2-L-6tSJ7JY	8648062	220446	3336	7224	2018-11-11T11:03:32Z	UCnnnJHsvSjPFWsIWm83fmWQ	La Prestation de Emma et Joy - Incroyable Talent	1
61	https://www.youtube.com/watch?v=VuYfPEbL8Wg	1997596	7208	1176	118	2016-03-30T15:25:55Z	UChagk5Ph_pwhgWHqlUgZA0g	Bello Nock - 14ème Festival International du Cirque Rhône-Alpes Isère à Voiron - Pays Voironnais	22
62	https://www.youtube.com/watch?v=IskcJRNRVNQ	1435	68	0	7	2021-09-29T23:14:43Z	UCqfWrrb93DNG-HywXC_46Lw	Tribuna Notícias 2ª Edição 29 09  2021	25
63	https://www.youtube.com/watch?v=Ul2qXOebpxI	2758110	49203	915	1074	2021-06-02T00:07:57Z	UCT2X19JJaJGUN7mrYuImANQ	Incredible Dogs Hilariously Imitate The AGT Judges - America's Got Talent 2021	24
64	https://www.youtube.com/watch?v=SICfCi2-LQY	126709593	1302975	69945	39319	2018-09-26T15:00:03Z	UCe_Fx4EZAgKjDz0aQ_Y7hSA	MOST DANGEROUS AUDITIONS on America's Got Talent 2018 | Got Talent Global	24
65	https://www.youtube.com/watch?v=YIBZLs-OCHE	61263342	419904	40265	7011	2018-05-07T15:00:03Z	UCXXnwJW6WTK2b3i3p6GLaPw	Crazy Magician Likes To Eat RAZOR BLADES! | Magician's Got Talent	24
66	https://www.youtube.com/watch?v=Bsi_7VeP8u0	69640026	822832	49398	44793	2018-10-26T13:00:02Z	UCT2X19JJaJGUN7mrYuImANQ	Don't Watch Sacred Riana If You're Scared Of The Dark - America's Got Talent 2018	24
67	https://www.youtube.com/watch?v=yn-TfAzobDI	97131147	1752003	55485	62443	2019-05-30T21:04:13Z	UCMaHobSU33-_hCM6ASjGNZQ	Raw Run || Race Against the Storm	17
68	https://www.youtube.com/watch?v=-sDJP1_7AaA	2923765	37829	1280	765	2020-08-23T20:15:33Z	UCGgw06zya4rMSUEEZfaflNA	Monte Agner Wingsuit Base	17
69	https://www.youtube.com/watch?v=xc3iLWDdqC4	4973	67	4	4	2020-12-13T13:34:06Z	UCSqd7y89DPCaZ7mqQKg7uHg	Raw Run	22
70	https://www.youtube.com/watch?v=F2Zn2dzZPeA	34557451	270320	13995	5593	2017-06-08T10:27:47Z	UC8UWqZ_OhOlie5m0kJcDb1Q	Insane Speed Course | Alex Schauer	17
71	https://www.youtube.com/watch?v=vXS0yN-LErM	44243324	341980	30358	3362	2020-04-24T12:00:38Z	UCt-xynmMrEVnFEyBCxen9bg	Spider-Man : Peter vs. Flash	24
72	https://www.youtube.com/watch?v=cxxeRzfJ1_c	9948249	114152	4303	3088	2018-10-18T22:48:25Z	UCjaArIE2VRGkraDbjNWWqgg	Scott Moran FIA Hillclimb Masters 2018. Gubbio, Italy.	22
73	https://www.youtube.com/watch?v=_6sHmSM11z0	24750881	162628	15053	1128	2020-02-14T18:47:41Z	UCMWiyxWqrBPboOgrcy2qauA	DARKFEST 2020- WORLDS BIGGEST MTB JUMPS WITH NICO VINK	17
74	https://www.youtube.com/watch?v=s_TanvVfYKo	16227292	174381	7242	6382	2016-03-24T19:52:13Z	UCBoDZBMndVzt6y9fTaNoDZg	Maui's HALO Wingsuit	17
75	https://www.youtube.com/watch?v=Iy8M-Cw8kDQ	6962607	83224	1948	3155	2020-05-05T02:39:21Z	UCmUwLIfO3mAxsRJRR5cSiCg	레이싱,모터싸이클 체감속도	22
76	https://www.youtube.com/watch?v=zRaVlLjYFjE	18381306	788936	16978	21100	2018-09-06T20:30:20Z	UCVipFbXwK1lYCyc8eTOLotQ	REFORMEI A BIKE VELHA DO MENINO DO GRAU | PORTAL WHEELING REALIZANDO SONHOS 4	24
77	https://www.youtube.com/watch?v=-jDKJT2dDZQ	189153012	1670680	139111	24009	2017-04-04T15:00:41Z	UCHOtaAJCOBDUWIcL4372D9A	Urban Freeride lives - Fabio Wibmer	17
78	https://www.youtube.com/watch?v=-jDKJT2dDZQ	189153012	1670680	139111	24009	2017-04-04T15:00:41Z	UCHOtaAJCOBDUWIcL4372D9A	Urban Freeride lives - Fabio Wibmer	17
79	https://www.youtube.com/watch?v=ApPkdTNbcY8	9927858	101053	3449	2609	2012-12-06T14:05:17Z	UCdj_wG140XjWKjbFzOZ96xw	Leo Messi vs Kobe Bryant - Legends on Board - Turkish Airlines	17
80	https://www.youtube.com/watch?v=Fe-tvWuS4dI	1009028	28513	572	1237	2021-03-08T09:02:47Z	UCd5x3eHQOyrsd6todHdsxwA	MY 2 MONTH SKATEBOARDING PROGRESSION (from nothing to bigspins, etc.)	22
81	https://www.youtube.com/watch?v=xF7LyCRKf5s	2629293	18427	967	187	2017-03-20T12:08:18Z	UCou-haF597iLsEOGz5ggmEg	2017 Holiday Valley Pond Skim	17
82	https://www.youtube.com/watch?v=fFgT9vt2sJM	9131659	112744	3006	4557	2019-11-08T05:37:23Z	UCvo8BitSExXgP-eYjXwJvgw	WCT 4 - QF3 - United v UGen	17
83	https://www.youtube.com/watch?v=l1vVdjasQuA	30655028	166263	23782	2549	2018-03-28T12:25:24Z	UClqlx2vVODv_6r6iqcqvJdQ	성룡의 액션명장면  스켈레톤 윤성빈 처럼 엎드려서 롤러타고 내려오다 Jackie Chan 成龙 Chinese Zodiac	22
84	https://www.youtube.com/watch?v=nIsZ4Q0y100	3478955	24778	1405	253	2017-02-10T15:00:17Z	UC5QYltAbcatrbjA-1XNncWA	ACC 2017: Men's Elite Sprint Gold Azizul vs Kawabata 2	22
85	https://www.youtube.com/watch?v=Q0UmfHtLu1o	1620029	10996	1639	0	2014-10-19T18:15:20Z	UC6of0E25eUgRabxhxEF_J9g	World's largest hula hoop	22
86	https://www.youtube.com/watch?v=G1luGMXzErg	969752	7010	872	0	2021-01-29T15:50:56Z	UCvnlZXygUAoqPBrOUYgE2Hg	abastecendo a bike motorizada	22
87	https://www.youtube.com/watch?v=BSyV0jL6c1c	5576505	38456	3121	1097	2016-08-11T23:51:53Z	UCbxNlBBA0hZHsvq2X0Cat8w	BIKE SPEED RECORD   90MPH / 145 KMS /HORA PUBLIC HIGHWAY	22
88	https://www.youtube.com/watch?v=jVd7e49uTCM	31453	304	14	16	2017-08-03T18:15:24Z	UCgY74XJ1jE5Ks70rLn8cCvg	GoPro Ciclismo 80 Km/h Velocidad Maxima	19
